Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
PTPN6	2/19	0.06445742633278	0.44739123733196	-0.98404702399037	0.79149048924303	RBM39;KDR
DUSP22	1/6	0.13930355327807	0.44739123733196	-0.79490608209772	0.63936030340348	RBM39
PPP2CA	3/88	0.28865150102708	0.44739123733196	0.08557787042438	-0.06883214813851	RPS6KB1;SMO;PRKACA
ACP1	1/15	0.29430260678768	0.44739123733196	0.66791375225049	-0.53721760205848	KDR
PPP5C	1/8	0.17598984879484	0.44739123733196	0.67535869664833	-0.54320573325564	NR3C1
PTPRJ	1/17	0.32537544533233	0.44739123733196	0.70227926185423	-0.56485853114645	KDR
PTPN1	1/38	0.58852968059108	0.64738264865019	1.59214851487524	-0.69229441809056	RBM39
PTPRB	1/3	0.08172844634612	0.44739123733196	0.96514602486622	-0.77628800330562	KDR
PTPN2	1/17	0.32537544533233	0.44739123733196	0.96985225471758	-0.7800733266456	KDR
PPP1CA	1/46	0.66298608743279	0.66298608743279	2.07715307502364	-0.85371255863367	SMO
PTPN11	1/21	0.38410952282009	0.46946719455789	1.27460092091221	-0.96379822491124	KDR
